test_year,timestamp,close,cash,btc,equity_before_action,equity,prob_up,y_pred,action
2016,2016-05-26,453.3840026855469,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.06713126,0,HOLD
2016,2016-05-27,473.4639892578125,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.38449046,0,HOLD
2016,2016-05-28,530.0399780273438,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.22724916,0,HOLD
2016,2016-05-29,526.2329711914062,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.20015569,0,HOLD
2016,2016-05-30,533.864013671875,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.25141028,0,HOLD
2016,2016-05-31,531.385986328125,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.40373558,0,HOLD
2016,2016-06-01,536.9199829101562,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.29379717,0,HOLD
2016,2016-06-02,537.9719848632812,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.333254,0,HOLD
2016,2016-06-03,569.1939697265625,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.21015425,0,HOLD
2016,2016-06-04,572.7269897460938,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.50772166,1,HOLD
2016,2016-06-05,574.9769897460938,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.5345329,1,HOLD
2016,2016-06-06,585.5369873046875,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.3444845,0,HOLD
2016,2016-06-07,576.5969848632812,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.37105703,0,HOLD
2016,2016-06-08,581.64501953125,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.26392615,0,HOLD
2016,2016-06-09,574.6300048828125,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.1601149,0,HOLD
2016,2016-06-10,577.469970703125,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.2907858,0,HOLD
2016,2016-06-11,606.7269897460938,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.12849188,0,HOLD
2016,2016-06-12,672.7839965820312,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.044899784,0,HOLD
2016,2016-06-13,704.3759765625,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.015804486,0,HOLD
2016,2016-06-14,685.5590209960938,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.024598576,0,HOLD
2016,2016-06-15,694.468994140625,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.031534314,0,HOLD
2016,2016-06-16,766.3079833984375,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.028013479,0,HOLD
2016,2016-06-17,748.9089965820312,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.027035322,0,HOLD
